<<<<<<< HEAD
kennitala,nafn,simanumer,kreditkortanúmer
jdjddj,1919192,38484848
akakak,22j2,2j2jj2,2j2j2j
alll,akakak,akaka,akaka
1212,ajajaj,929,1919
1341,denni,2928,9287
09090909,Gunnar bragi,2999,938765
=======
kennitala,nafn,simanumer,kreditkortanúmer
181818,bubbi,292929,2929929999
jdjddj,1919192,38484848
1807913109,Denni,6941544,11111111111111
1807913109,nfnfnf,nfnfnf,nfnfnf
1212,ajajaj,929,1919
siggi,hunni,kjkjk,djjj
dkkk,dkk,dkkkd,kkkk
>>>>>>> 465b089c97f38deaddc202dcd21b138241f922c4
